City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,qusmuryn,52.4503,64.6311,45.0,92,92,11.27,KZ,1698615702
83,grootfontein,-19.5667,18.1167,76.64,18,18,3.53,NA,1698615702
84,new norfolk,-42.7826,147.0587,58.91,70,97,8.55,AU,1698615702
85,invercargill,-46.4,168.35,60.03,56,10,3.0,NZ,1698615702
86,whitehorse,60.7161,-135.0538,29.17,86,100,18.41,CA,1698615493
87,xilin hot,43.9667,116.0333,29.97,43,16,3.31,CN,1698615702
88,bethel,41.3712,-73.414,49.89,87,100,6.91,US,1698615603
89,defuniak springs,30.721,-86.1152,87.98,45,0,3.44,US,1698615682
90,avarua,-21.2078,-159.775,75.25,64,75,8.05,CK,1698615573
91,kamyzyak,46.11,48.0736,48.18,93,0,8.95,RU,1698615703
92,youhao,47.8667,128.8333,40.6,58,100,1.77,CN,1698615703
93,tazacorte,28.629,-17.9293,72.57,84,20,6.91,ES,1698615703
94,nantucket,41.2835,-70.0995,53.71,77,100,13.8,US,1698615473
95,west island,-12.1568,96.8225,78.78,78,100,14.97,CC,1698615461
96,beroroha,-21.6667,45.1667,75.0,47,0,3.42,MG,1698615703
97,inarajan village,13.2736,144.7484,84.4,89,17,9.64,GU,1698615704
98,mount gambier,-37.8333,140.7667,50.68,95,84,7.61,AU,1698615704
99,ilulissat,69.2167,-51.1,24.82,74,100,3.44,GL,1698615704
100,cabo san lucas,22.8909,-109.9124,86.61,61,0,11.5,MX,1698615530
101,stanley,54.868,-1.6985,46.53,95,75,8.05,GB,1698615693
102,ceerigaabo,10.6162,47.368,62.24,75,100,5.66,SO,1698615704
103,altai,46.3722,96.2583,33.71,66,82,18.99,MN,1698615704
104,satipo,-11.2522,-74.6386,76.23,91,100,1.54,PE,1698615704
105,tyukhtet,56.5389,89.3011,17.42,95,10,3.98,RU,1698615705
106,port mathurin,-19.6833,63.4167,76.21,79,10,15.66,MU,1698615693
107,pariaman,-0.619,100.12,77.05,90,99,3.44,ID,1698615705
108,alice springs,-23.7,133.8833,58.55,20,44,2.3,AU,1698615498
109,college,64.8569,-147.8028,34.81,71,75,4.61,US,1698615705
110,carnarvon,-24.8667,113.6333,65.68,77,0,23.78,AU,1698615705
111,cao bang,22.6667,106.25,65.41,96,100,2.55,VN,1698615705
112,san pedro de ycuamandiyu,-24.0917,-57.0764,86.52,56,85,3.11,PY,1698615705
113,aasiaat,68.7098,-52.8699,20.77,79,100,2.28,GL,1698615706
114,bredasdorp,-34.5322,20.0403,56.07,61,0,19.53,ZA,1698615706
115,aioun,16.6614,-9.6149,93.06,18,39,4.0,MR,1698615706
116,zhengjiatun,43.5064,123.5064,49.03,41,83,12.1,CN,1698615706
117,port alfred,-33.5906,26.891,58.46,65,91,15.41,ZA,1698615706
118,kone,-21.0595,164.8658,75.27,45,10,6.82,NC,1698615469
119,flying fish cove,-10.4217,105.6791,76.68,94,40,6.91,CX,1698615707
120,puerto ayora,-0.7393,-90.3518,82.36,87,43,8.99,EC,1698615707
121,novo aripuana,-5.1206,-60.3797,91.8,33,61,2.46,BR,1698615707
122,baotou,40.6522,109.8222,48.34,39,20,3.74,CN,1698615707
123,voi,-3.3945,38.563,74.23,81,89,7.99,KE,1698615707
124,rio gallegos,-51.6226,-69.2181,48.25,31,0,18.41,AR,1698615707
125,camana,-16.6228,-72.7111,68.95,81,31,10.27,PE,1698615707
126,valparaiso,-33.0393,-71.6273,63.0,80,100,11.5,CL,1698615602
127,ubinskoye,55.3068,79.6802,20.71,85,100,7.9,RU,1698615708
128,labytnangi,66.6572,66.4183,6.31,98,98,3.62,RU,1698615503
129,ntui,4.45,11.6333,71.38,90,85,1.36,CM,1698615708
130,selfoss,63.9331,-20.9971,32.04,70,73,6.31,IS,1698615708
131,lihue,21.9789,-159.3672,81.99,68,0,8.05,US,1698615492
132,pamandzi,-12.7967,45.2794,80.38,83,20,6.91,YT,1698615708
133,preobrazheniye,42.9019,133.9064,43.57,55,9,7.29,RU,1698615709
134,olovyannaya,50.95,115.5667,17.64,41,3,3.29,RU,1698615709
135,tucupita,9.0622,-62.051,82.83,75,94,5.77,VE,1698615709
136,badiyah,22.45,58.8,76.26,66,95,2.1,OM,1698615709
137,nanlong,31.3533,106.0631,61.47,81,1,1.03,CN,1698615709
138,ribeira grande,38.5167,-28.7,59.4,77,40,5.75,PT,1698615709
139,karungdong,5.8844,121.263,79.99,78,70,0.74,PH,1698615709
140,haiku-pauwela,20.9219,-156.3051,82.42,62,20,20.71,US,1698615695
141,ulladulla,-35.35,150.4667,71.64,34,91,7.85,AU,1698615710
142,prineville,44.2999,-120.8345,54.12,33,0,4.61,US,1698615710
